"JobPK","ClientFK","SiteFK","JobTitle","JobDescription","FeatureScore","FeaturedAdvert","LiveDate","CreateDate","ExpiryDate","HideContactDetails","JobLogo","JobRef","SalaryMin","SalaryMax","SalaryFrame","SalaryDesc","Email","CompanyName","nJobSectorVal","sJobSectorDesc","nJobRoleVal","sJobRoleDesc","nJobTypeVal","sJobTypeDesc","nTownCityVal","sTownCityDesc","sLocationVal","sLocationDesc","NoApplications","NoSearches","NoViews"
"1448905","14746","136","Digital Marketing Assistant","<p><strong><u>Digital Marketing Assistant</u></strong></p> <p>Do you have an eye for detail and keen to progress within the digital marketing sector?</p> <p>Specialist travel insurance company are looking to recruit an experienced Digital Marketing Assistant to join their busy marketing team in Romford.</p> <p>Reporting to the Digital Marketing Manager you will be responsible for utilising digital techniques to raise the company profile.</p> <p><strong><u>Other duties include:<br /></u></strong>Delivering across a variety of digital channels including PPC, SEO, Social Media, and e-mail marketing<br />Editorial creation and ongoing maintenance of existing social media accounts<br />Managing Adwords campaigns on a day to day basis<br />Reviewing marketing content and managing/updating Wordpress blogs<br />Using analytical tools to measure/monitor online performance</p> <p>Ongoing training will be provided</p> <p>Good knowledge of Wordpress, Google Adwords and Google Analytics will be essential for this position</p> <p>Experience within a similar role is necessary alongside a familiarity using digital channels in a business environment</p> <p>Monday to Friday, 35 hours per week.<br /></p>","0","False","24/12/2013 08:32:11","24/12/2013 08:32:11","21/01/2014 08:32:11","False","","CSS15913","0","0","5","Negotiable","recruitment@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30054","Commercial - Permanent","","","29814","Permanent","30206","Essex","Romford, Essex","Romford, Essex","0","19","3"
"1448904","14746","136","Business Development Manager (FTC)","<p><strong>Business Development Manager (FTC)</strong></p> <p><strong>Fantastic new opportunity to join a global company on a new venture</strong></p> <p>Large, world-wide packaging manufacturer are looking to recruit a Business Development Manager to join their team initially on a 12 month Fixed Term Contract, to sell bespoke packaging materials to industry.</p> <p>You will be responsible for driving new business development through product/market opportunities. </p> <p>You must have previous experience within an external sales environment with a high level of business acumen.</p> <p>Negotiation, analytical and influencing skills are essential for this position.</p> <p>£30-35k per annum, negotiable dependant on experience</p>","0","False","24/12/2013 08:27:39","24/12/2013 08:27:39","21/01/2014 08:27:39","False","","CSS15912","3000000","3500000","5","Negotiable","recruitment@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30052, 30054","Industrial, Commercial - Permanent","","","29812","Contract","30240","Yorkshire","Wakefield, West Yorkshire","Wakefield, West Yorkshire","0","19","3"
"1448694","14746","136","Supply Chain Supervisor","<p>Supply Chain Supervisor</p> <p>Established manufacturer of cast and machined engine parts for the automotive industry are looking to recruit a Supply Chain Supervisor to provide overall strategic leadership and supervision to the Supply Chain team and to drive improvements in cost and service throughout the business.</p> <p>Duties include:<br />Responsible for supervising the department within the agreed operating budget<br />Ensure overall purchasing expenditure is minimised through constant and vigilant cost down activities, and to monitor such expenditure and report cost movements<br />Ensure adequate stocks of production materials are maintained to ensure uninterrupted production <br />Order and Optimise CHEP/Customer packaging on site<br />Arrange freight with ex works and local supplied standard freight for sub contract work<br />Support new initiatives involving process improvements<br />Responsible directly for the procurement of aluminium<br />Responsible overall for the effective management of stores to enable effective receipt, storage and issue of materials, as well as despatch of finished goods to customers</p> <p>Candidates must have experience supervising a team in operational supply chain or purchasing roles<br />Proven cost reduction delivery and a manufacturing background within the automotive industry would be very advantageous</p> <p>£30-40k per annum, negotiable dependant on experience.</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 15:16:39","20/12/2013 15:16:39","17/01/2014 15:16:39","False","","CSS15911","3000000","4000000","5","Negotiable","recruitment@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30052, 30054","Industrial, Commercial - Permanent","","","29814","Permanent","30206","Essex","Witham","Witham","1","621","33"
"1448678","14746","136","Quality Manager","<p>Quality Manager</p> <p>Large, busy and expanding civil engineering company need an additional hands on Quality Manager to assist with all aspects of quality on various sized sites accross the UK (Predominently the south of England).<br />You will involved in quality systems and hands on on site inspections, you are likely to have extensive experience in a civil engineering environment so you can really understand the realities and challenges of quality management on varied civil engineering sites.</p> <p>Location: South of England, UK<br />Salary: Negotiable</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 14:47:56","20/12/2013 14:47:56","17/01/2014 14:47:56","False","","CSS15910","0","0","5","Negotiable","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30217","London","South of England","South of England","0","600","28"
"1448668","14746","136","Parts Co-ordinator","<p>Parts Co-ordinator</p> <p>Do you have an understanding of agricultural machinery and experience in and around mechanical parts and stores ?<br />This presigous, established agricultural plant company are looking for a new member of their stable and friendly team.<br />You should be computer literate (ideally with ipcos gold experience) and have the ability to deal with customers and a product line of over 25000 parts.</p> <p>Location: Near Great Dunmow, Essex<br />Salary: £25-35k per annum , Negotiable dependant on experience</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. <br /></p>","0","False","20/12/2013 14:35:04","20/12/2013 14:35:04","17/01/2014 14:35:04","False","","CSS15902","2500000","3500000","5","Negotiable, dependant on experience","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30052, 30054","Industrial, Commercial - Permanent","","","29814","Permanent","30206","Essex","Near Great Dunmow","Near Great Dunmow","0","621","25"
"1448651","14746","136","Assistant Quantity Surveyor","<p>Assistant Quantity Surveyor</p> <p>Construction arm of established social housing organisation are looking to add an Assistant QS to their new and expanding team. <br />You should have at least 2 years experience in a residential / housing quantity surveyor role and have relavent qualifications. The role will involve supporting the senior QS team and site measurement and estimating work.</p> <p>Location: East London<br />Salary: £24 - 34k per annum, Negotiable, dependant on experience</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 14:10:49","20/12/2013 14:10:49","17/01/2014 14:10:49","False","","CSS15864","2400000","3400000","5","Negotiable","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30217","London","East London","East London","0","601","79"
"1443269","14746","136","M&E Services Branch Manager","<p align=center><strong><u>M&amp;E Services Branch Manager</u></strong></p> <p>Senior Engineer and strong client facing man manager required by leading building services contractor to co-ordinate and run a team of specialist electrical and mechanical building services engineers for work across Gatwick airport.</p> <p>It is essential you have experience of working at airports. The team will be involved in all aspects of a range of building services projects including design, specification, installation, maintenance and repair.</p> <p>You will likely be qualified to a minimum of HNC/HND level and have extensive experience cordinating projects over £5M.&nbsp; </p> <p>Salary: Negotiable<br />Location: Gatwick Airport, West Sussex</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 12:54:06","06/11/2013 16:42:14","17/01/2014","False","","CSS15846","0","0","5","Negotiable, dependant on experience","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30233","Sussex","Gatwick Airport","Gatwick Airport","2","3956","166"
"1442143","14746","136","Account Manager - London","<p>Account Manager - London</p> <p>Large Facilities Management company are looking to recruit an Account Manager to cover their sites across London to effectively manage a hard services contract over a portfolio of property, and all financial, service and people related activities.</p> <p>Main duties:<br />Deliver a consistent and compliant service in accordance with the contract specification.<br />Investigate and develop new contract leads, and increase the base portfolio value of PPM contracts<br />Full profit and loss responsibility for the portfolio<br />Ensure an annual and forward business plan and budget is in place <br />Presentation of quarterly forecast reviews to the Management Board<br />Participate in any budgetary initiatives as required<br />Active involvement in sales presentations to internal and external clients<br />Ownership of operational efficiency tools such as CRM, vehicle tracker etc.<br />Take the lead for all disciplinary related matters<br />Provide technical and operational input to the business unit<br />Implement and take ownership of mobilisation plans for new clients and for renewals where appropriate<br />Develop and maintain accurate and compliant PPM schedules<br />Establish a logical and effective labour programme to provide a robust maintenance and reactive service in accordance with the specification&nbsp;<br />Identify operational improvements and enhancements</p> <p>Solid sales and estimating experience in a relevant discipline alongside experience running mobile and resident site businesses is essential<br />Competency in Computerised Maintenance Management Systems (CMMS)<br />Experienced in managing / co-ordinating support services (HR, IT, H&amp;S, Finance etc.) <br />Trade qualifications in an M&amp;E or related discipline will be beneficial </p> <p>Some national travel and occasional overnight stays will be required</p> <p>Up to £65k per annum</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 12:44:58","29/10/2013 11:37:01","17/01/2014","False","","CSS15830","6500000","6500000","5","Up to £65k per annum","recruitment@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30054","Commercial - Permanent","","","29814","Permanent","30217","London","London","London","1","3535","178"
"1441748","14746","136","Operations Manager - London","<p>Operations Manager - London</p> <p>Large and reputable Facilities Management company are looking to recruit an Operations Manager to cover a number of sites across London.</p> <p>The ideal candidate will serve as focus for all Operational service provision in support of the Regional office; approx 15 - 20 sites throughout London and the peripheral area. Broad range of Property types from Grade A office stock through Retail Parks to small Industrial Units.</p> <p>You will manage the operational facilities management service provision to the property/properties of the contract, to ensure the cost effective and timely delivery of contractual obligations and service provisions, ensuring quality standards and H&amp;S requirements are met. Responsible for £3-4m Service Charge budget expenditure.</p> <p>Main duties:<br />Manage the onsite service delivery teams for Soft services, service provision and sub-contracted service providers to the property/properties under your management, Plan, Organise &amp; Monitor Service delivery.<br />Liaise and co-ordinate where required the onsite service delivery teams for Hard services, service provision and sub-contracted service providers to the property/properties under your management, Plan, Organise &amp; Monitor Service delivery in conjunction with the M&amp;E supervisory and management team.<br />Set Operational budgets and manage the recovery process of all costs and profit for those properties under your management.<br />Prepare and manage budgets / quotations for client instructions as and when required<br />Manage subcontractors and monitor performance against SLAs and KPIs<br />Responsible for the Profit and Loss account for the buildings under your management. <br />Ensure the Properties are maintained and serviced to the correct standard to keep their asset value and statutory compliance<br />Make sure that all on-site activities within common areas and on common systems are correctly managed and controlled to ensure zero unplanned downtime to either Client or Tenants business operations<br />Manage resource and associated costs <br />Produce proposals/estimates for soft services<br />Co-ordinate proposals/estimates for M&amp;E Services</p> <p>The ideal candidate will have experience leading multi-disciplined teams at a managerial level, alongside strong FM experience</p> <p>BIFM Membership is desirable, but not essential</p> <p>Computerised Maintenance Management Systems (CMMS) experience is very advantageous</p> <p>Full Driving Licence is essential</p> <p>Up to £40k per annum, dependant on experience<br />9am - 5pm </p> <p>25 days holiday plus bank holidays<br />Company Pension Scheme <br />Private Healthcare after 6 months</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. <br /></p>","0","False","20/12/2013 12:30:46","24/10/2013 16:19:42","17/01/2014","False","","CSS15823","4000000","4000000","5","Negotiable, dependant on experience","recruitment@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050, 30054","Building and Construction - Permanent, Commercial - Permanent","","","29814","Permanent","30217","London","London","London","3","2067","118"
"1448618","14746","136","Quantity Surveyor","<p>Quantity Surveyor</p> <p>QS or Senior QS required by rapdily expanding and successful construction company, <br />The role involves working for a high profile retail client across the south of England dealing with client queries and developing an effective client relationship.&nbsp; <br />You should be experienced with the effective sourcing, negotiation, assessment and management of sub-contract work; Reviewing and reporting on cost estimates and plans including preliminaries, sub-contract &amp; material costs.<br />You will take responsibility for the authorisation of sub contract payments (including interim applications) and final accounts as well as agreeing variation values. <br />You should have extensive retail /Commercial experience.</p> <p>Location: Leatherhead, Surrey<br />Salary: £45k per annum</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 12:22:44","20/12/2013 12:22:44","17/01/2014 12:22:44","False","","CSS15762","4500000","4500000","5","","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30232","Surrey","Leatherhead, Surrey","Leatherhead, Surrey","0","580","18"
